StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,key_resp_3.rt,key_resp_10.keys,key_resp_10.rt,selectedPrimeThresh,ThreshPrimeduration,Text52_RT,captured_string_Thresh,threshLoop.thisRepN,threshLoop.thisTrialN,threshLoop.thisN,threshLoop.thisIndex,threshLoop.ran,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
5fb65456d2527632686468a5,68067.495,space,19.53489,COLONIST,4934.165,0,0,0,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KILL,8001.14,1,0,1,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EARTH,2004.975,2,0,2,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GHOST,4680.875,3,0,3,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOTHER,6339.99,4,0,4,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JUMP,4563.26,5,0,5,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BOMB,833.35,6,0,6,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXPLOSION,1550.205,7,0,7,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THREAD,7332.915,8,0,8,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THEIRS,1283.58,9,0,9,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THERE,1100.465,10,0,10,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8000.14,11,0,11,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8000.16,12,0,12,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STARS,1583.435,13,0,13,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LEARN,1249.985,14,0,14,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TIGER,5017.05,15,0,15,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BEAR,1067.395,16,0,16,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ANIMAL,4016.27,17,0,17,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHARK,1717.11,18,0,18,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,QUEEN,6667.13,19,0,19,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOTHER,5688.43,20,0,20,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8000.56,21,0,21,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WEST,1050.105,22,0,22,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MENACE,1999.65,23,0,23,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DEFEND,5055.18,24,0,24,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14896.485,25,0,25,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13824.61,26,0,26,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TEARS,5983.495,27,0,27,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8001.39,28,0,28,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11548.97,29,0,29,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8000.32,30,0,30,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,YOURS,4966.76,31,0,31,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14360.225,32,0,32,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12087.855,33,0,33,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7999.755,34,0,34,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9558.685,35,0,35,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13964.7,36,0,36,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,15273.08,37,0,37,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HORSE,1874.5,38,0,38,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8001.21,39,0,39,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15676.755,40,0,40,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20783.145,41,0,41,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.034999987,42,0,42,0,1,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,space,27.294995,,0,0,0,172,1,0.2900152,PRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5fb65456d2527632686468a5,001,2021-06-03_22h02.07.082,DelayedExp,2020.1.3,Win32,60,,,z,0,1,1,128,1,0.264208821,DAGGER,2.252475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
