StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
,,,,,7992.34,27,0,27,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7990.35,28,0,28,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8008.26,29,0,29,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7994.05,30,0,30,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8003.995,31,0,31,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7991.87,32,0,32,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8008.51,33,0,33,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8009.04,34,0,34,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7997.53,35,0,35,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8005.45,36,0,36,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7992.075,37,0,37,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8006.59,38,0,38,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7991.43,39,0,39,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7995.925,40,0,40,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7995.88,41,0,41,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7990.72,42,0,42,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7995.535,43,0,43,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8011.655,44,0,44,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8005.685,45,0,45,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7990.54,46,0,46,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8007.74,47,0,47,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8003.215,48,0,48,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,180285.165,49,0,49,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,space,231.586315,slash,2.26605,0,0,0,172,1,0.2900152,PRIDE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,2.468845,0,1,1,238,1,0.928411832,HAPPY,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.83856,0,2,2,308,1,0.214947297,BABY,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,2.33544,0,3,3,126,1,0.121983524,CHANGE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.28873,0,4,4,313,1,0.66506893,MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,2.13731,0,5,5,155,1,0.095154608,CHAIR,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,0.82187,0,6,6,135,1,0.258521111,GROSS,,,,,,,,,,,,,,,,,,,,,,,,
